Cell,ROI,x bottom corner,y bottom corner,Size of ROI (nm),Comments,Percentage of molecules in clusters,Average number of molecules per cluster,Average cluster area (nm^2),Abslute density in clusters (molecules / um^2),Relative density in clusters,Total number of molecules in ROI,Circularity,Number of clusters in ROI,Density of clusters (clusters / um^2),TAD
1,10,29629,10176,6012304,NaN,80.073377665673,29.0645161290323,5076.42174350641,7170.52915650583,9.88163700809099,4361,0.904029083458517,251,41.7477226700446,0.000725345890693485
1,11,43769,14917,6840840,NaN,79.0482076637824,23.8181818181818,4824.71363627284,5287.62703495388,7.44911070891996,4854,0.895568037941632,312,45.6084340519585,0.000709561983616047
2,5,9359,37149,4515625,NaN,70.8333333333333,24.9166666666667,4979.95696304442,5470.9511687839,9.97503344272242,2472,0.896094427242112,165,36.5397923875433,0.000547432525951557
2,7,3147,27422,8185321,NaN,74.0329035126723,31.2758620689655,6027.97400298742,5741.92617965157,6.96355139883677,6747,0.839974012937527,402,49.1123072632093,0.000824280440559387
2,8,34860,14508,7273809,NaN,70.3873691940518,24.3846153846154,4974.13708282732,5080.71549101051,6.77210218772817,5447,0.871987440603077,368,50.5924750017494,0.000748851117756873
3,1,20802,30610,4868642,NaN,75.0842561386615,26.2409638554217,5392.76012559848,4640.42123231791,5.42888845267232,4154,0.864372675302916,278,57.1001112835982,0.000853215331913909
3,2,25869,33634,4870849,NaN,61.6033755274262,21.9047619047619,4677.45548662621,3618.88025363714,6.18954242559385,2844,0.854665118408167,215,44.1401488734305,0.000583881783237378
3,4,12056,23172,4173849,NaN,76.4311500773595,25.9,5455.83443649398,5331.69059357849,5.73001380110081,3878,0.864824090790972,271,64.9280795735543,0.000929118422827467
3,5,4863,16470,6840840,NaN,87.5557664926436,43.6358695652174,8352.57881668284,6033.18330470636,3.917611929584,10535,0.820464048990658,435,63.588682091673,0.00154001555364546
3,6,12628,3147,6012304,NaN,87.2844332030352,47.544776119403,9248.06806712522,5475.40513174357,3.78475513626148,8698,0.816648158793988,388,64.534328270826,0.00144669996726712
3,7,37475,5272,4870849,NaN,81.9215254858819,25.1811023622047,5062.06641261882,5206.99833501437,4.65025717512035,5454,0.865802429296307,365,74.9356015758239,0.00111972266025902
3,8,41889,19494,4515625,NaN,85.3354760948172,48.1239669421488,7977.57613649279,6241.24136339706,3.77435456429487,7467,0.864519909257488,214,47.3910034602076,0.00165359169550173
3,10,4536,9440,5239521,NaN,78.8586515028432,35.6385542168675,6585.8312447675,6510.01243128897,6.92413595157279,4924,0.855584906981081,288,54.9668567031223,0.000939780563910327
